Period,Time Slot,ALFANR_II,ASE4PL,ASEJ2PL_BYPL,BSIUL,CHAMERA1,CHAMERA2,DADRI_T2,DHAULIGNGA,DVC,ERPCL_FTG2,FARAKKA,GT_CC,JHAJJAR,KAHLGAN1,KAHLGAN2,KPS1_HW_BYPL,KPS1_S_BYPL,MEJIA7,NJPC,PARBATI2,RAPPC,RAPPD,RIHAND2,RIHAND3,RUMS_DMRC,SALAL,SASAN,SECI_BYPL,SEWA2,SITAC_BYPL,SNGRAULI,TANAKPUR,TEHRIPSP,TEHRIPSP_P,THAR_BYPL,TWEPL,UNCHHAR1,UNCHHAR2,UNCHHAR3,URI,URI2
1,00:00-00:15,11.18,0,0,0,0,0,81.23,0,15.29,0,1.91,8.76,20.07,11.27,36.54,4.78,0,54.76,0,0,6.56,9.78,28.82,24.21,0,2.68,310.1,0,0,25.85,47.95,1.74,0,-129.17,0,5.67,1.91,4.78,2.87,9.65,2.2
2,00:15-00:30,10.86,0,0,0,0,0,81.23,0,15.29,0,1.91,8.76,20.07,11.27,36.54,4.78,0,54.76,0,0,6.56,9.78,28.82,24.21,0,2.68,310.1,0,0,25.58,47.95,1.74,0,-129.17,0,5.67,1.91,4.78,2.87,9.65,4.09
3,00:30-00:45,10.54,0,0,0,0,0,81.23,0,15.29,0,1.91,8.76,20.07,11.27,36.54,4.78,0,54.76,0,0,6.56,9.78,28.82,24.21,0,3.11,310.1,0,0,30,47.95,1.74,0,-129.17,0,5.67,1.91,4.78,2.87,1.03,4.09
4,00:45-01:00,10.24,0,0,0,0,0,81.23,0,15.29,0,1.91,8.53,20.07,11.27,36.54,4.78,0,54.76,0,0,6.56,9.78,28.82,24.21,0,3.11,310.1,0,0,29.33,47.95,1.74,0,-129.17,0,5.67,1.91,4.78,2.87,1.03,4.09
5,01:00-01:15,10.25,0,0,0,0,0,81.23,0,15.29,0,1.91,8.53,20.07,11.27,36.54,4.78,0,69.68,0,0,6.56,9.78,28.82,24.21,0,3.11,310.1,0,0,28.67,47.95,1.74,0,-129.17,0,5.67,1.91,4.78,2.87,1.03,4.09
6,01:15-01:30,10.26,0,0,0,0,0,81.23,0,15.29,0,1.91,8.53,20.07,11.27,36.54,4.78,0,81.23,0,0,6.56,9.78,28.82,24.21,0,3.11,310.1,0,0,28,47.95,1.74,0,-129.17,0,5.67,1.91,4.78,2.87,1.03,2.2
7,01:30-01:45,10.26,0,0,0,0,0,81.23,0,15.29,0,1.91,8.53,20.07,11.27,36.54,4.78,0,81.23,0,0,6.56,9.78,28.82,24.21,0,3.11,310.1,0,0,27.33,47.95,0.48,0,-129.17,0,5.67,1.91,4.78,2.87,2.07,2.2
8,01:45-02:00,10.26,0,0,0,0,0,81.23,0,15.29,0,1.91,8.53,20.07,11.27,36.54,4.78,0,81.23,0,0,6.56,9.78,28.82,24.21,0,3.11,310.1,0,0,26.67,47.95,0.48,0,-129.17,0,5.67,1.91,4.78,2.87,2.07,2.2
9,02:00-02:15,9.46,0,0,0,0,0,81.23,0,15.29,0,1.91,8.53,20.07,11.27,36.54,4.78,0,81.23,0,0,6.56,9.78,28.82,24.21,0,3.11,310.1,0,0,26,47.95,0.43,0,-129.17,0,5.67,1.91,4.78,2.87,2.07,2.2
10,02:15-02:30,10.33,0,0,0,0,0,81.23,0,15.29,0,1.91,8.53,20.07,11.27,36.54,4.78,0,81.23,0,0,6.56,9.78,28.82,24.21,0,3.11,310.1,0,0,25,47.95,0.43,0,-129.17,0,5.67,1.91,4.78,2.87,2.07,2.2
11,02:30-02:45,10.26,0,0,0,0,0,81.23,0,15.29,0,1.91,8.53,20.07,11.27,36.54,4.78,0,81.23,0,0,6.56,9.78,28.82,24.21,0,3.11,310.1,0,0,23.33,47.95,0.43,0,-129.17,0,5.67,1.91,4.78,2.87,2.07,2.2
12,02:45-03:00,10.18,0,0,0,0,0,81.23,0,15.29,0,1.91,8.53,20.07,11.27,36.54,4.78,0,81.23,0,0,6.56,9.78,28.82,24.21,0,3.11,310.1,0,0,21.67,47.95,0.43,0,-129.17,0,5.67,1.91,4.78,2.87,2.07,2.2
13,03:00-03:15,10.05,0,0,1.52,0,0,81.23,0,15.29,0,1.91,8.53,20.07,11.27,36,4.78,0,89.83,0,0,6.56,9.78,28.82,24.21,0,3.11,310.1,0,0,20,47.95,0.48,0,-129.17,0,5.67,1.91,4.78,2.87,2.07,2.2
14,03:15-03:30,9.91,0,0,1.52,0,0,81.23,0,15.29,0,1.91,8.53,20.07,11.27,36,4.78,0,89.83,0,0,6.56,9.78,28.82,24.21,0,3.11,310.1,0,0,17.92,47.95,0.48,0,-129.17,0,5.67,1.91,4.78,2.87,2.07,2.2
