Period,Time Slot,ALFANR_II,ASE4PL,ASEJ2PL_BYPL,BSIUL,CHAMERA1,CHAMERA2,DADRI_T2,DHAULIGNGA,DVC,ERPCL_FTG2,FARAKKA,GT_CC,JHAJJAR,KAHLGAN1,KAHLGAN2,KPS1_HW_BYPL,KPS1_S_BYPL,MEJIA7,NJPC,PARBATI2,RAPPC,RAPPD,RIHAND2,RIHAND3,RUMS_DMRC,SALAL,SASAN,SECI_BYPL,SEWA2,SITAC_BYPL,SNGRAULI,TANAKPUR,TEHRIPSP,TEHRIPSP_P,THAR_BYPL,TWEPL,UNCHHAR1,UNCHHAR2,UNCHHAR3,URI,URI2
1,00:00-00:15,13.1,0.0,0.0,0.0,0.0,3.203,81.342,0.0,15.641,0.0,3.439,0.0,22.954,11.709,36.612,6.0,0.0,57.3,0.0,0.0,0.0,0.0,28.88,24.046,0.0,3.109,314.95,0.0,2.238,43.02,64.106,1.742,0.0,0.0,0.0,0.0,1.915,4.788,2.877,9.667,2.291
2,00:15-00:30,14.92,0.0,0.0,0.0,0.0,3.203,81.342,0.0,15.641,0.0,3.439,0.0,22.954,11.709,36.612,6.0,0.0,57.3,0.0,0.0,0.0,0.0,28.88,24.046,0.0,3.109,314.95,0.0,2.238,42.42,65.836,1.742,0.0,0.0,0.0,0.0,1.915,4.788,2.877,9.667,4.252
3,00:30-00:45,16.82,0.0,0.0,0.0,0.0,3.203,81.342,0.0,15.641,0.0,3.439,0.0,22.954,11.709,36.612,6.0,0.0,57.3,0.0,0.0,0.0,0.0,28.88,24.046,0.0,3.109,314.95,0.0,2.238,42.13,65.836,1.742,0.0,0.0,0.0,0.0,1.915,4.788,2.877,1.072,4.252
4,00:45-01:00,18.84,0.0,0.0,0.0,0.0,0.0,81.342,0.0,15.641,0.0,3.439,0.0,22.954,11.709,36.612,6.0,0.0,57.3,0.0,0.0,0.0,0.0,28.88,24.046,0.0,3.109,314.95,0.0,2.238,40.94,65.836,1.742,0.0,0.0,0.0,0.0,1.915,4.788,2.877,1.072,4.252
5,01:00-01:15,19.72,0.0,0.0,0.0,0.0,0.0,81.342,0.0,15.641,0.0,3.439,0.0,22.611,11.709,36.612,6.0,0.0,57.3,0.0,0.0,0.0,0.0,28.88,24.046,0.0,3.109,314.95,0.0,2.238,40.64,65.836,1.742,0.0,0.0,0.0,0.0,1.505,3.661,2.188,1.072,4.252
6,01:15-01:30,20.62,0.0,0.0,0.0,0.0,0.0,81.342,0.0,15.641,0.0,3.439,0.0,22.611,11.709,36.612,6.0,0.0,57.3,0.0,0.0,0.0,0.0,28.88,24.046,0.0,3.109,314.95,0.0,2.238,40.94,65.836,1.742,0.0,0.0,0.0,0.0,1.505,3.661,2.188,1.072,2.291
7,01:30-01:45,23.34,0.0,0.0,0.0,0.0,0.0,81.342,0.0,15.641,0.0,3.439,0.0,22.611,11.709,36.612,6.0,0.0,57.3,0.0,0.0,0.0,0.0,28.88,24.046,0.0,3.109,314.95,0.0,2.238,41.24,65.836,0.498,0.0,0.0,0.0,0.0,1.505,3.661,2.188,2.146,2.291
8,01:45-02:00,23.34,0.0,0.0,0.0,0.0,0.0,81.342,0.0,15.641,0.0,3.439,0.0,22.611,11.709,36.612,6.0,0.0,57.3,0.0,0.0,0.0,0.0,28.88,24.046,0.0,3.109,314.95,0.0,2.238,42.13,65.836,0.498,0.0,0.0,0.0,0.0,1.505,3.661,2.188,2.146,2.291
9,02:00-02:15,32.66,0.0,0.0,0.0,0.0,0.0,81.342,0.0,13.061,0.0,2.741,0.0,22.611,9.05,36.612,6.0,0.0,57.3,0.0,0.0,0.0,0.0,28.88,24.046,0.0,3.109,314.95,0.0,2.238,42.42,65.836,0.498,0.0,0.0,0.0,0.0,1.505,3.661,2.188,2.146,2.291
10,02:15-02:30,32.34,0.0,0.0,0.0,0.0,0.0,81.342,0.0,13.061,0.0,2.741,0.0,22.611,9.05,36.612,6.0,0.0,57.3,0.0,0.0,0.0,0.0,28.88,24.046,0.0,3.109,314.95,0.0,2.238,43.3,65.836,0.498,0.0,0.0,0.0,0.0,1.505,3.661,2.188,2.146,2.291
11,02:30-02:45,41.6,0.0,0.0,1.585,0.0,0.0,81.342,0.0,13.061,0.0,2.741,0.0,22.611,9.05,36.612,6.0,0.0,57.3,0.0,0.0,0.0,0.0,28.88,24.046,0.0,3.109,314.95,0.0,2.238,43.61,64.012,0.498,0.0,0.0,0.0,0.0,1.505,3.661,2.188,2.146,2.291
12,02:45-03:00,41.0,0.0,0.0,1.585,0.0,0.0,81.342,0.0,13.061,0.0,2.741,0.0,22.611,9.05,36.612,6.0,0.0,57.3,0.0,0.0,0.0,0.0,28.88,24.046,0.0,3.109,314.95,0.0,2.238,44.03,64.012,0.498,0.0,0.0,0.0,0.0,1.505,3.661,2.188,2.146,2.291
13,03:00-03:15,40.64,0.0,0.0,1.585,0.0,0.0,81.342,0.0,13.061,0.0,2.741,0.0,22.611,9.05,28.27,6.0,0.0,57.3,0.0,0.0,0.0,0.0,28.88,24.046,0.0,3.109,314.95,0.0,2.238,43.26,56.132,0.498,0.0,0.0,0.0,0.0,1.505,3.661,2.188,1.072,2.291
14,03:15-03:30,40.28,0.0,0.0,1.585,0.0,0.0,81.342,0.0,13.061,0.0,2.741,0.0,22.611,9.05,28.27,6.0,0.0,57.3,0.0,0.0,0.0,0.0,28.88,24.046,0.0,3.109,314.95,0.0,2.238,42.24,56.132,0.498,0.0,0.0,0.0,0.0,1.505,3.661,2.188,1.072,2.291
15,03:30-03:45,39.86,0.0,0.0,1.585,0.0,0.0,81.342,0.0,13.061,0.0,2.741,0.0,22.611,9.05,28.27,6.0,0.0,57.3,0.0,0.0,0.0,0.0,28.88,24.046,0.0,3.109,314.95,0.0,2.238,41.33,56.132,0.498,0.0,0.0,0.0,0.0,1.505,3.661,2.188,1.072,2.291
