CSV,Energy Type,Energy Sub Type,Direction,RLDC,SLDC Code,Fuel Type,ENT %AGE,DC %AGE
OA_Matrix_ByApproval_With_Export_Import.csv,OA_REMC,OA_GNA,IMPORT,AlfanarWind_SECI_III,ALFANR_II,Wind,100,
Entitlement_Matrix.csv,ENT,,,BSIUL,BSIUL,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,CHAMERA1,CHAMERA1,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,CHAMERA2,CHAMERA2,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,CHAMERA3,CHAMERA3,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,DADRT2,DADRI_T2,Coal,22.96443,
Entitlement_Matrix.csv,ENT,,,DHAULIGNGA,DHAULIGNGA,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,DULHASTI,DULHASTI,Hydro,25.4,
OA_Matrix_ByApproval_With_Export_Import.csv,OA_REMC,OA_GNA,IMPORT,ERCPL_FTG2,ERCPL_FTG,Solar,50,
Entitlement_Matrix.csv,ENT,,,FSTPP_I_II,FARAKKA,Coal,25.4,
Entitlement_Matrix.csv,ENT,,,JHAJJAR,JHAJJAR,Coal,10,
Entitlement_Matrix.csv,ENT,,,KHSTPP_I,KAHLGAN1,Coal,30.116,
Entitlement_Matrix.csv,ENT,,,KHSTPP_II,KAHLGAN2,Coal,29.73,
OA_Matrix_ByApproval_With_Export_Import.csv,OA_REMC,OA_GNA,IMPORT,AHEJ5L_PSS5_KPS1_HW,KPS1_HW_BYPL,Wind,0,
OA_Matrix_ByApproval_With_Export_Import.csv,OA_REMC,OA_GNA,IMPORT,AHEJ5L_PSS5_KPS1_S,KPS1_S_BYPL,Solar,0,
Entitlement_Matrix.csv,ENT,,,NAPP,NAPP,Nuclear,0,
Entitlement_Matrix.csv,ENT,,,NJPC,NJPC,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,PARBATI2,PARBATI2,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,PARBATI3,PARBATI3,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,RAPP 7&8,RAPP 7&8,Nuclear,25.4,
Entitlement_Matrix.csv,ENT,,,RAPPD,RAPPD,Nuclear,25.4,
Entitlement_Matrix.csv,ENT,,,RIHAND2,RIHAND2,Coal,25.4,
Entitlement_Matrix.csv,ENT,,,RIHAND3,RIHAND3,Coal,40.4,
OA_Matrix_ByApproval_With_Export_Import.csv,OA_REMC,OA_GNA,IMPORT,RUMS,RUMS_DMRC,Others ,47,
Entitlement_Matrix.csv,ENT,,,SALAL,SALAL,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,SASAN,SASAN,Coal,79.03,
Entitlement_Matrix.csv,ENT,,,SEWA2,SEWA2,Hydro,25.4,
OA_Matrix_ByApproval_With_Export_Import.csv,OA_REMC,OA_GNA,IMPORT,SITAC_CHUGGER_BHJ2_W,SITAC_BYPL,Wind,100,
Entitlement_Matrix.csv,ENT,,,SINGRAULI,SNGRAULI,Coal,49.56,
Entitlement_Matrix.csv,ENT,,,TALA,TALA,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,TANAKPUR,TANAKPUR,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,TEHRIPSP,TEHRIPSP,Hydro,37.3,
OA_Matrix_ByApproval_With_Export_Import.csv,OA_GNA,NA,EXPORT,TEHRIPSP_P,TEHRIPSP_P,Hydro,37.3,
OA_Matrix_ByApproval_With_Export_Import.csv,OA_REMC,OA_GNA,IMPORT,TS1PL_BKN,THAR_BYPL,Solar,100,
Entitlement_Matrix.csv,ENT,,,UNCHAHAR1,UNCHHAR1,Coal,13.37,
Entitlement_Matrix.csv,ENT,,,UNCHAHAR2,UNCHHAR2,Coal,16.58,
Entitlement_Matrix.csv,ENT,,,UNCHAHAR3,UNCHHAR3,Coal,16.1,
Entitlement_Matrix.csv,ENT,,,URI,URI,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,URI2,URI2,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,MEJIA7,MEJIA7,Coal,100,
Entitlement_Matrix.csv,ENT,,,DVC,DVC,Coal,17.55,
Entitlement_Matrix.csv,ENT,,,GT_CC,GT_CC,Gas,30,
OA_Matrix_ByApproval_With_Export_Import.csv,OA_REMC,OA_GNA,IMPORT,ASE4PL,ASE4PL,Solar,100,
OA_Matrix_ByApproval_With_Export_Import.csv,OA_REMC,OA_GNA,IMPORT,ASEJ2PL_BYPL,ASEJ2PL_BYPL,Solar,100,
Entitlement_Matrix.csv,OA_REMC,,,TWEPL,TWEPL,WSE,100,
Entitlement_Matrix.csv,ENT,,,SECI_BYPL,SECI_BYPL,Solar,100,
